file;line;hex;nearest_target_class;nearest_target_distance;context
src/styles.css;3447;#1F4E5F;Schnittmenge;52.64;"eader nav a:hover, .b82-compact-header nav a:hover { color: var(--b79-accent, #1F4E5F) !important; } /* The actual hero is the only place where the title/lead shoul"
src/styles.css;3555;#F5F0E7;Dauerkultur / Sondernutzung;197.11;"global-state][style] { background: rgba(9, 18, 15, 0.84) !important; color: #F5F0E7 !important; border: 1px solid rgba(245, 240, 231, 0.14) !important; box-sha"
src/styles.css;3565;#F5F0E7;Dauerkultur / Sondernutzung;197.11;"al-map-step h3, #centralGlobalMapStory article[data-global-state] h3 { color: #F5F0E7 !important; text-shadow: none !important; } #centralGlobalMapStory .central-"
src/styles.css;3579;#55A3B5;Moor-/Feuchtbodenkontext;39.62;"mber, #centralGlobalMapStory article[data-global-state] .step-number { color: #55A3B5 !important; } /* Remove any old light/grey pseudo panel artefacts. */ #central"
src/styles.css;3637;#F5F0E7;Dauerkultur / Sondernutzung;197.11;"[data-global-state] { background: rgba(9, 18, 15, 0.86) !important; color: #F5F0E7 !important; border: 1px solid rgba(245, 240, 231, 0.14) !important; box-sha"
src/styles.css;3667;#F5F0E7;Dauerkultur / Sondernutzung;197.11;"data-global-state] h2, #centralGlobalMapStory [data-global-state] h3 { color: #F5F0E7 !important; } #centralGlobalMapStory article p, #centralGlobalMapStory .centra"
src/styles.css;3680;#55A3B5;Moor-/Feuchtbodenkontext;39.62;"pStory [data-global-state] span, #centralGlobalMapStory .step-number { color: #55A3B5 !important; } /* Remove pale overlay artefacts from all step cards. */ #centra"
src/styles.css;3751;#07120F;Schnittmenge;56.67;"top: clamp(74px, 9vh, 116px) !important; z-index: 1 !important; background: #07120F !important; border: 1px solid rgba(245, 240, 231, 0.14) !important; border-"
src/styles.css;3778;#F5F0E7;Dauerkultur / Sondernutzung;197.11;"z-index: 5 !important; background: rgba(9, 18, 15, 0.88) !important; color: #F5F0E7 !important; border: 1px solid rgba(245, 240, 231, 0.16) !important; box-sha"
src/styles.css;3789;#776A5D;Grünland;48.02;"ory-read-note { background: transparent !important; color: var(--b79-muted, #776A5D) !important; border: 0 !important; box-shadow: none !important; } /* Keep"
src/styles.css;3796;#221D18;Schnittmenge;51.96;"light. */ #centralGlobalMapStory .section-heading h2 { color: var(--b79-ink, #221D18) !important; } /* If the story uses a scroll column plus a sticky visual, forc"
src/styles.css;3864;#07120F;Schnittmenge;56.67;"l-map-shell, [data-b87-central-story=""true""] .central-map-shell { background: #07120F !important; border: 1px solid rgba(245, 240, 231, 0.16) !important; border-"
